act: Up    | ter: False | rew: -1 | pos:  0.334 | vel:  0.277
act: Down  | ter: False | rew: -1 | pos:  0.246 | vel: -2.075
act: Up    | ter: False | rew: -1 | pos:  0.135 | vel: -0.118
act: Up    | ter: False | rew: -1 | pos:  0.233 | vel:  2.094
act: Down  | ter: False | rew: -1 | pos:  0.319 | vel: -0.388
act: Up    | ter: False | rew: -1 | pos:  0.368 | vel:  1.388
act: Up    | ter: False | rew: 1  | pos:  0.607 | vel:  3.416
act: Down  | ter: False | rew: 2  | pos:  0.817 | vel:  0.752
act: Down  | ter: False | rew: 1  | pos:  0.749 | vel: -2.148
act: Up    | ter: False | rew: 1  | pos:  0.626 | vel: -0.290
act: Up    | ter: False | rew: 1  | pos:  0.704 | vel:  1.880
act: Down  | ter: False | rew: 2  | pos:  0.768 | vel: -0.633
act: Up    | ter: False | rew: 2  | pos:  0.791 | vel:  1.118
act: Down  | ter: False | rew: 2  | pos:  0.780 | vel: -1.374
act: Up    | ter: False | rew: 1  | pos:  0.733 | vel:  0.449
act: Down  | ter: False | rew: 1  | pos:  0.658 | vel: -1.966
